StockCode,avg_daily_demand,demand_std,safety_stock,reorder_point,recommended_stock_30days,risk_score
M,108.88571428571429,352.8538083739973,1540.3796530974014,2302.579653097401,3266.5714285714284,38420.73896323725
21787,94.1923076923077,269.48484472871854,1176.4333040675237,1835.7794579136776,2825.769230769231,25383.39941310122
21915,67.38888888888889,262.76877307734867,1147.114362695778,1618.8365849180002,2021.6666666666665,17707.695652379105
84212,87.28571428571429,173.76297484956748,758.560470562499,1369.560470562499,2618.571428571429,15167.025376155107
22413,56.148148148148145,269.3972907898301,1176.0510882523288,1569.0881252893657,1684.4444444444443,15126.158993977126
16014,72.77777777777777,161.9566128456768,707.019919273849,1216.4643637182935,2183.333333333333,11786.842379324255
22129,84.33333333333333,134.9234350783189,589.0068611654707,1179.340194498804,2530.0,11378.543024938226
22197,62.05,175.52645149913846,766.2589096475955,1200.6089096475955,1861.5,10891.416315521541
20668,71.52542372881356,136.23956536218097,594.7524143151695,1095.4303804168644,2145.762711864407,9744.592641159385
85172,84.0,114.91446094088131,501.65789139611877,1089.6578913961189,2520.0,9652.81471903403
22492,73.10526315789474,126.1474447200114,550.69536597144,1062.432208076703,2193.157894736842,9222.042142952414
23326,70.375,128.3832849600868,560.4559034281822,1053.0809034281822,2111.25,9034.973679066108
21135,61.095238095238095,144.98065552407493,632.9115530625113,1060.578219729178,1832.857142857143,8857.627668447054
16045,122.22222222222223,66.66666666666667,291.032644217105,1146.5881997726606,3666.666666666667,8148.148148148149
23057,72.5,101.1162697096763,441.4220302046557,948.9220302046557,2175.0,7330.9295539515315
22616,45.981818181818184,139.0268413877789,606.92023899356,928.7929662662873,1379.4545454545455,6392.706943085324
23510,37.642857142857146,149.7944800164086,653.9262541245253,917.4262541245253,1129.2857142857144,5638.692212046239
22152,50.0,111.59390664368732,487.16204593543614,837.1620459354361,1500.0,5579.695332184366
21137,41.15625,132.73594969438324,579.4574163333747,867.5511663333747,1234.6875,5462.91392960946
75049L,61.083333333333336,82.90351273765438,361.91442790388993,789.4977612372234,1832.5,5064.022903058389
23327,58.8,77.78945944020951,339.5890810965512,751.1890810965511,1764.0,4574.020215084319
23507,31.606060606060606,138.1457426492804,603.0738115583365,824.3162358007608,948.1818181818181,4366.242714642408
16008,55.0,75.0679692012512,327.708443589725,712.708443589725,1650.0,4128.738306068816
22476,31.61904761904762,130.31249985725705,568.8778711199795,790.2112044533129,948.5714285714287,4120.357138343747
22030,37.13793103448276,109.02611880316013,475.9523946601788,735.9179119015581,1114.1379310344828,4049.004481069085
23084,30.86946386946387,131.01832191535516,571.9591300187053,788.0453771049524,926.0839160839162,4044.4653546038426
23056,48.666666666666664,82.56108849411649,360.41957840827683,701.0862450749435,1460.0,4017.9729733803356
22560,33.56603773584906,114.2658017071065,498.8261762160989,733.7884403670423,1006.9811320754717,3835.4502120177826
84077,65.75,55.8434311801321,243.78392157764657,704.0339215776465,1972.5,3671.7056000936855
23543,27.607142857142858,131.39404667885643,573.5993525899996,766.8493525899996,828.2142857142858,3627.414217241286
17038,50.5,70.0035713374682,305.5998670647616,659.0998670647616,1515.0,3535.180352542144
22539,50.92307692307692,68.08996688017692,297.2460465868948,653.7075850484332,1527.6923076923076,3467.350621129009
23193,33.95454545454545,101.29846389693571,442.2173970458421,679.8992152276603,1018.6363636363636,3439.5432968641353
22166,48.5,67.17514421272202,293.25239768840765,632.7523976884077,1455.0,3257.994494317018
23177,31.24137931034483,104.01121339699519,454.0598769473562,672.74953211977,937.2413793103449,3249.4537702647463
21167,73.2,44.3813023693537,193.74611673527806,706.146116735278,2196.0,3248.711333436691
21107,40.666666666666664,77.15568676384133,336.8223530290114,621.489019695678,1220.0,3137.6645950628804
90057,45.6,68.305197459637,298.18563345674454,617.3856334567445,1368.0,3114.7170041594472
22128,44.333333333333336,65.75966342168527,287.07313092659854,597.4064642599319,1330.0,2915.3450783613807
22134,31.5,90.18653508762331,393.70838668994594,614.2083866899459,945.0,2840.8758552601344
21564,36.35294117647059,73.3663250208079,320.2799335094591,574.7505217447532,1090.5882352941176,2667.081697815252
84879,28.910526315789475,91.63498670312183,400.03158724513196,602.4052714556583,867.3157894736843,2649.215694527622
72232,44.44444444444444,57.181970740590764,249.62730219268886,560.7384133037999,1333.3333333333333,2541.4209218040337
23582,20.192052980132452,122.04669681351687,532.7935933740171,674.1379642349442,605.7615894039735,2464.373368108695
21495,44.73684210526316,55.01196042201808,240.15414457779968,553.3120393146418,1342.1052631578948,2461.0613873008087
85152,26.0,92.26372930182723,402.77635656062944,584.7763565606294,780.0,2398.856961847508
62018,32.142857142857146,74.04599600119863,323.24703014877025,548.2470301487702,964.2857142857143,2380.049871467099
85175,45.09090909090909,52.492770064942356,229.15664511421,544.7930087505736,1352.7272727272727,2366.94672292831
85099B,26.340425531914892,88.65731094977268,387.0325745233565,571.4155532467607,790.2127659574468,2335.27129693231
21166,32.2037037037037,69.50672008494685,303.4308680577036,528.8567939836296,966.1111111111111,2238.3738190318995
20974,25.105263157894736,87.03823855501807,379.9645307199912,555.7013728252543,753.1578947368421,2185.1178837233483
22319,48.0,45.390612380840295,198.1522491574442,534.1522491574442,1440.0,2178.749394280334
82600,35.11764705882353,60.253386529184354,263.03553606935725,508.85906548112195,1053.5294117647059,2115.957162230768
22100,36.625,57.2835989990653,250.0709593045542,506.4459593045542,1098.75,2098.0118133407664
22188,25.333333333333332,82.68672951626058,360.9680629917279,538.3013963250612,760.0,2094.7304810786013
23086,40.0,51.34978091481988,224.16693779413592,504.16693779413595,1200.0,2053.9912365927953
23440,32.8,62.32736156777375,272.08945266217137,501.68945266217133,983.9999999999999,2044.3374594229788
22944,51.0,38.698837191833036,168.9393737409962,525.9393737409962,1530.0,1973.6406967834848
71459,32.18181818181818,60.417307803733536,263.7511326989895,489.0238599717168,965.4545454545454,1944.3388147746973
23309,26.607142857142858,72.73130589466172,317.50776407829767,503.75776407829767,798.2142857142858,1935.1722461258207
23461,18.945945945945947,101.57261932724289,443.4142197429738,576.0358413645954,568.3783783783784,1924.3893553620885
23167,37.0,51.263174340634244,223.78885768975846,482.78885768975846,1110.0,1896.737450603467
21232,25.933333333333334,69.80647987664442,304.73946632981927,486.27279966315257,778.0,1810.3147114676453
22961,24.589041095890412,73.12524180709087,319.2274872319927,491.35077490322556,737.6712328767123,1798.0795759414812
22693,38.4,46.475800154489,202.88962516600003,471.68962516600004,1152.0,1784.6707259323775
84378,18.958904109589042,89.90294741741174,392.4703876470103,525.1827164141336,568.7671232876712,1704.461359256135
22959,36.191489361702125,46.2599640490623,201.9473948788022,455.28782041071713,1085.7446808510638,1674.216996754361
